"","Text_ID","Sentence_Number","text"
"1",1,1,"there are now rumblings that apple might soon invade the smart watch space though the company is maintaining its customary silence"
"2",1,2,"the watch doesn't have a microphone or speaker but you can use it to control the music on your phone"
"3",1,3,"you can glance at the watch face to view the artist and title of a song"
"4",2,1,"two days later the british astronomer richard carrington was observing the interesting sunspot group through his telescope when he saw what he described as two patches of intensely bright and white light over the sunspots"
"5",2,2,"he jotted a note in his painstaking record"
"6",2,3,"that night there was scarcely a square inch of earth that was not illuminated by aurora"
"7",3,1,"i agree that california's three strikes and you're out law will be a financial disaster for taxpayers who care about education and other vital services"
"8",3,2,"but it's far from clear that the law can even be credited with a reduction in crime in california"
"9",3,3,"while it's true that crime declined in california last year crime also dropped nationwide"
"10",4,1,"liza was in a bad temper for she was mixing the christmas puddings in the kitchen and had been drawn from them with a raisin still on her cheek by nana's absurd suspicions"
"11",4,2,"she thought the best way of getting a little quiet was to take nana to the nursery for a moment but in custody of course"
"12",5,1,"mrs darling quivered and went to the window"
"13",5,2,"it was securely fastened"
"14",5,3,"she looked out and the night was peppered with stars"
"15",5,4,"they were crowding round the house as if curious to see what was to take place there but she did not notice this nor that one or two of the smaller ones winked at her"
"16",6,1,"seeing peter slowly advancing upon him through the air with dagger poised he sprang upon the bulwarks to cast himself into the sea"
"17",6,2,"he did not know that the crocodile was waiting for him for we purposely stopped the clock that this knowledge might be spared him a little mark of respect from us at the end"
"18",7,1,"dorothy didn't know"
"19",7,2,"she looked around her anxiously for some familiar landmark but everything was strange"
"20",7,3,"between the branches of the many roads were green meadows and a few shrubs and trees but she couldn't see the farm-house from which she had just come or anything she had ever seen before except the shaggy man and toto"
"21",8,1,"The human body can tolerate only a small range of temperature especially when the person is engaged in vigorous activity"
"22",8,2,"heat reactions usually occur when large amounts of water and/or salt are lost through excessive sweating following strenuous exercise"
"23",8,3,"when the body becomes overheated and cannot eliminate this excess heat heat exhaustion and heat stroke are possible"
"24",9,1,"it was a forbidding challenge and it says much for winstanley's persuasive abilities not to mention his self-confidence that the admiralty agreed to fund him"
"25",9,2,"no lighthouse had ever been built out to sea on an isolated rock before"
"26",9,3,"the eddystone is hard enough to avoid but landing on it is a separate challenge entirely"
"27",10,1,"a clergyman remarked to him the lord is on our side"
"28",10,2,"i am not at all concerned about that replied mr lincoln for i know that the lord is always on the side of the right"
"29",10,3,"but it is my constant anxiety and prayer that i and this nation should be on the lord's side"
"30",11,1,"known as rapa nui to the island's inhabitants rongorongo is a writing system comprised of pictographs"
"31",11,2,"it has been found carved into many oblong wooden tablets and other artifacts from the island's history"
"32",11,3,"the art of writing was not known in any nearby islands and the script's mere existence is sufficient to confound anthropologists"
"33",12,1,"some months later michael larson saw another opportunity to stack the odds in his favor with a dash of ingenuity"
"34",12,2,"he walked into his bank one day and asked to withdraw his entire account balance but with an unusual stipulation he wanted as much of the cash as possible in one dollar notes"
"35",13,1,"bob murphy the senior pga tour money leader with seven hundred thousand says heat shouldn't be a factor"
"36",13,2,"i don't think you're going to have a heat wave i'm not going to be able to handle he said"
"37",13,3,"everybody treats it differently"
"38",13,4,"my son ronnie his caddie and i won't be riding carts"
"39",14,1,"with schools still closed cars still buried and streets still blocked by the widespread weekend snowstorm officials are asking people to pick up a shovel and help out"
"40",14,2,"in boston a snow angel campaign is using social media to encourage neighbors and friends to be an angel and help dig out the stranded"
"41",15,1,"greg anderson considered a key witness by the prosecution vowed he wouldn't testify when served a subpoena last week"
"42",15,2,"his lawyers said he was prepared for a third prison stay to maintain his silence"
"43",15,3,"anderson was released july 20 after a two-week stay for previously declining to testify before a different grand jury"
"44",16,1,"steam sterilization is limited in the types of medical waste it can treat but is appropriate for laboratory cultures and substances contaminated with infectious organisms"
"45",16,2,"the waste is subjected to steam in a sealed pressurized chamber"
"46",16,3,"the liquid that may form is drained off to the sewer or sent for processing"
"47",17,1,"owls are more flexible than humans because a bird's head is only connected by one socket pivot"
"48",17,2,"people have two which limits our ability to twist forsman added"
"49",17,3,"owls also have multiple vertebrae the small bones that make up the neck and spine helping them achieve a wide range of motion"
"50",18,1,"even in the same animal not all bites are the same"
"51",18,2,"a new study finds that because the force in a muscle depends on how much it is stretched an animal's bite force depends on the size of what it is biting"
"52",18,3,"evolution the finding has direct implications for ecology and"
"53",19,1,"interestingly the heaviest isotopes physicists have managed to synthesize so far don't behave quite like science's best current models predict so stable superheavy nuclei are likely to be full of surprises"
"54",19,2,"chemists cannot even predict with any certainty whether these materials will exist as gases liquids or solids at room temperature"
"55",20,1,"buck did not like it but he bore up well to the work taking pride in it"
"56",20,2,"it was a monotonous life operating with machine-like regularity"
"57",20,3,"one day was very like another"
"58",20,4,"at a certain time each morning the cooks turned out fires were built and breakfast was eaten"
"59",21,1,"these days is beginning to catch up to musicians who practice mentally"
"60",21,2,"although the details are still somewhat elusive the key to the success of mental imagery as a rehearsal technique is that most of the same neurological regions are invoked by mental practice as by real practice"
"61",21,3,"neuroscience"
"62",22,1,"not only smoke came out of it"
"63",22,2,"there came also children's voices for so safe did the boys feel in their hiding-place that they were gaily chattering"
"64",22,3,"the pirates listened grimly and then replaced the mushroom"
"65",22,4,"they looked around them and noted the holes in the seven trees"
"66",23,1,"when a nucleus has all of its proton shells or neutron shells loaded to full capacity the layers can align so well that each shell can spoon intimately with its attractive neighbors forming a more compact sphere that fits well within the strong nuclear force's area of influence"
"67",24,1,"hybrid vehicles have a halo that makes owners feel righteous and their neighbors feel guilty for not doing as much to save the planet"
"68",24,2,"they also cost more and a new report from the very green union of concerned scientists says buyers aren't always getting their money's worth"
"69",25,1,"The girl's feet were then re-wrapped even tighter than before causing her footprint to shrink further as the bones slowly fused into their new configuration"
"70",25,2,"occasionally girls' feet would fester and blood poisoning from gangrene could be a cause for concern but an estimated 0.9 survived the process"
"71",26,1,"An early task will be to make sure the newfound microbes were not introduced while drilling through the ice into the lake which involved a hot-water drilling technique designed to greatly reduce or eliminate any contamination that might come from other kerosene-based drilling technology christner said"
"72",27,1,"very similar but even more striking is the evidence from athletic training"
"73",27,2,"as with rehearsing a piece on the piano practicing a complex physical task in the mind alone is nearly as effective a learning strategy as actually physically doing it"
"74",27,3,"but it doesn't stop there"
"75",28,1,"A bill was drafted and introduced into parliament several times but met with great opposition mostly from farmers"
"76",28,2,"eventually in 1925 it was decided that summer time should begin on the day following the third saturday in april and close after the first saturday in october"
"77",29,1,"when early europeans discovered easter island its somewhat isolated ecosystem was suffering from the effects of limited natural resources deforestation and overpopulation"
"78",29,2,"over the following years the island's population of four thousand or so was slowly eroded by western disease and deportation by slave traders"
"79",30,1,"binge drinking may not necessarily kill or even damage brain cells as commonly thought a new animal study suggests"
"80",30,2,"but it can block key receptors in the brain and trigger production of a steroid that interferes with brain functions critical to learning and memory"
"81",31,1,"when preparing to check out of their hotel room some frequent travelers pile up their used bath towels on the bathroom floor which would make them easy for housekeepers to spot"
"82",31,2,"other travelers neatly fold them or hang them from the shower curtain pole"
"83",32,1,"In no celestial hurry neptune has just completed its first orbit around the sun since being discovered 165 years ago by earthlings"
"84",32,2,"as spacecom notes the big blue-green gas bag is the only planet in our solar system to be discovered by mathematics"
"85",33,1,"when attacked a skunk's natural inclination is to turn around lick its tail and spray a noxious scent"
"86",33,2,"that works when a skunk faces a natural predator in the wild but it's not as helpful when faced with let's say an oncoming car"
"87",34,1,"lady account was suspended thursday"
"88",34,2,"gaga's the notice read that the suspension was due to multiple or severe violations of youtube's copyright policy"
"89",34,3,"youtube the google inc-owned youtube declined to comment"
"90",34,4,"it's youtube policy to remove accounts after three copyright violations"
"91",35,1,"The astronauts used a hefty robotic arm to move the bus-size canister stuffed with nearly three tons of packing foam and other space station refuse"
"92",35,2,"it was the last job shared by the shuttle and station crews numbering ten astronauts altogether"
"93",36,1,"Rich investors with no ties to farming no dirt under their nails are confident enough to wager big on a patch of earth betting that it's a smart investment because food will only get more expensive around the world"
"94",37,1,"john thornton asked little of man or nature"
"95",37,2,"he was unafraid of the wild"
"96",37,3,"with a handful of salt and a rifle he could plunge into the wilderness and fare wherever he pleased and as long as he pleased"
"97",38,1,"All that the brain has to work with are imperfect incoming electrical impulses announcing that things are happening"
"98",38,2,"it is then the job of neurons to rapidly interpret these signals as well as they can and suggest how to react"
"99",39,1,"that's because when immigrants from a particular cultural group move into a new one they bring genetic diversity that if the immigrants have children get mixed around changing the new population's gene pool"
"100",39,2,"but the new population's culture doesn't necessarily change"
"101",40,1,"police in georgia have shut down a lemonade stand run by three girls trying to save up for a trip to a water park saying they didn't have a business license or the required permits morningstar"
"102",40,2,"says police also didn't know how the lemonade was made"
"103",41,1,"Research showing that a tiny european river bug called the water boatman may be the loudest animal on earth for its size has some interesting sidebars"
"104",41,2,"the insect is just two millimeters long and yet produces an underwater call that has been measured at 99.2 decibels"
"105",42,1,"there often seems to be more diving in soccer than in the summer olympics"
"106",42,2,"phantom contact or the slightest collision can lead to theatrical belly flops and exaggerated somersaults by players deceptively trying to draw fouls on their opponents kill time or catch a breather when tired"
"107",43,1,"proper ventilation will make a backdraft less likely"
"108",43,2,"opening a room or building at the highest point allows heated gases and smoke to be released gradually"
"109",43,3,"however suddenly breaking a window or opening a door is a mistake because it allows oxygen to rush in causing an explosion"
"110",44,1,"the first step to be taken in studying the history of our country is to form some clear and proper conception of the characteristics and condition of the territory which is now occupied by the american people as it existed when first discovered and explored by europeans"
"111",45,1,"susan b anthony spent nearly sixty years of her life devoted to the cause of social justice and equality for all"
"112",45,2,"her major contributions were focused on rights"
"113",45,3,"her primary achievement lay in her inspiration and influence of thousands of people promoting the right of women to vote"
"114",45,7,"women’s"
"115",46,1,"as earth warms due to the human-caused release of heat-trapping gases into the atmosphere frozen arctic soils also warm thaw and release more carbon dioxide"
"116",46,2,"the added carbon dioxide accelerates earth's warming which further accelerates the thawing of arctic soils and the release of even more carbon dioxide"
"117",47,1,"unfortunately for every six water bottles we use only one makes it to the recycling bin"
"118",47,2,"the rest are sent to landfills or even worse they end up as trash on the land and in rivers lakes and the ocean"
"119",47,3,"plastic bottles take many hundreds of years to disintegrate"
"120",48,1,"As in the united states colombian legislation requires travelers entering the country to declare cash in excess of ten thousand dollars"
"121",48,2,"concealing more than that amount to transport it into or out of the country is a crime punishable by up to five years in prison in the united states"
"122",49,1,"for centuries time was measured by the position of the sun with the use of sundials"
"123",49,2,"noon was recognized when the sun was the highest in the sky and cities would set their clock by this apparent solar time even though some cities would often be on a slightly different time"
"124",50,1,"when the new world was first discovered it was found to be like the old well stocked with plants and animals and inhabited by a great many tribes and nations of men and yet the plants and animals if not the men were all essentially different from those known in the old world"
"125",51,1,"american industry may not know it but debate in congress over reforming the federal government's regulatory apparatus may profoundly improve companies' ability to survive"
"126",51,2,"this week the senate seems poised to join the house in a massive overhaul of the way in which bureaucrats enact regulations that are strangling the life out of companies"
"127",52,1,"stress is a risk factor for both depression and anxiety he says"
"128",52,2,"we don't have data on the specific causes of depression and anxiety in this sample but it does make sense scientifically that the millennials who report higher levels of stress in their lives are also reporting higher levels of depression and anxiety"
"129",53,1,"when it comes to having a lasting and fulfilling relationship common wisdom says that feeling close to your romantic partner is paramount"
"130",53,2,"but a new study finds that it's not how close you feel that matters most it's whether you are as close as you want to be even if that's really not close at all"
"131",54,1,"at the time the french crown secured much of its revenue by issuing government bonds"
"132",54,2,"in 1727 in order to save money the state cut the bonds’ interest rate"
"133",54,3,"the market value of these bonds plummeted and the market became wary of french credit"
"134",54,4,"the french state was left without an easy way of raising money"
"135",55,1,"voltaire himself probably won around half a million livres a large fortune which he then made even larger in a series of canny investments"
"136",55,2,"soon voltaire was a very rich man rich enough to become a moneylender to the powerful and famous rich enough that he no longer had to stake his financial well-being on that most unreliable and detestable"
"137",55,NA,"NA"
