Text_ID	Sentence_Number	text
1	1	anne lost control and laughed
2	2	billy wrote on the envelope
3	3	he called over his shoulder
4	4	he stayed against the wall
5	5	helen ran to the toilet
6	6	i cannot tell you more
7	7	michael gave adam two pounds
8	8	roger smiled and sat down
9	9	things were looking up again
10	10	this man's hair is black
11	11	turn your hearing aid up
12	12	you'll demand nothing of me
13	13	a horse has thrown a shoe
14	14	a tube train took his legs
15	15	five will be listening for sure
16	16	gordon felt his anger build up
17	17	harry smiled at his little brother
18	18	he needed putting in his place
19	19	he shouted and the calling ceased
20	20	he uses his belt on you
21	21	he's broken his wrists very badly
22	22	i am touched deeply in places
23	23	i don't want to hear it
24	24	i knew i heard your voice
25	25	i wouldn't want to miss this
26	26	jack walked up to the door
27	27	ross sat back down and shivered
28	28	she couldn't help feel for alex
29	29	the bored looking soldier just pointed
30	30	the campaign will pay for itself
31	31	they're riding out to meet them
32	32	we barely escaped with our lives
33	33	we've been travelling almost three days
34	34	alice is looking for somewhere to live
35	35	alan forgot to shave again this morning
36	36	have a carriage sent for us immediately
37	37	he probably doesn't want people to know
38	38	he put the fork on the table
39	39	i'll give him more than a slap
40	40	andrew nodded and stood against the counter
41	41	looks like a walk did the trick
42	42	sam felt proud when he went home
43	43	scott got up and washed his plate
44	44	simon nodded and walked into the room
45	45	steve sat down to eat his lunch
46	46	ted smiled and bit his bottom lip
47	47	thomas stepped back and shook his head
48	48	tom stood up and wiped his jeans
49	49	tony stopped off at his first delivery
50	50	normally they want to cut things up
51	51	powerful in the wrong hands is that
52	52	she had refused to leave her home
53	53	she hid the boxes and matches well
54	54	the bored looking soldier continued looking bored
55	55	the dead must not kill the living
56	56	the prison guard walked along the row
57	57	the van is your lead follow that
58	58	you're getting up early in the morning
59	59	after lunch he was told he had visitors
60	60	albert spoke before barbara had a chance to
61	61	come within the walls to escape the enemy
62	62	follow me closely and watch for their leader
63	63	he called out but she did not move
64	64	he sat down and began to eat breakfast
65	65	he slammed the knife down on the lamb
66	66	he staggered into the chair at his desk
67	67	i do not spare the birds a killing
68	68	i think our friend's demands are well justified
69	69	let us leave these poor people in peace
70	70	walter closed the door and took a breath
71	71	william sat down and tucked into his breakfast
72	72	alec stood against the wall to steady himself
73	73	no-one else had dared step within the ring
74	74	none of the city people dress like that
75	75	she saw the throwing knife in his hand
76	76	she was smiling in the dark teeth flashing
77	77	shut your smart foul mouth and sit down
78	78	tell me what really happened to the truck
79	79	the door was opened and alexander walked out
80	80	there were choked screams and shouts of dismay
81	81	there will be men to kill either way
82	82	they were definitely holding hands underneath the table
83	83	claudia still teaches and still claims to hate it
84	84	burn him now don't wait for him to escape
85	85	don't die of cold before you die in battle
86	86	good god if you are watching give me strength
87	87	he heaved his shoulders and swung the axe again
88	88	he is after glory and heads for his hall
89	89	he just wished he could talk to his dad
90	90	he lay his sword aside and extended his hands
91	91	he sighed and walked back to the wood shop
92	92	he smiled when she let out a big yawn
93	93	he was leaning against his truck smoking a joint
94	94	i was thinking of getting the band together again
95	95	it is a narrow ship much like our own
96	96	arthur placed the bars of chocolate on the counter
97	97	john gave bernard a hard slap on the head
98	98	let's get out and i'll buy you a drink
99	99	let's have the gates closed and go home early
100	100	andrew closed the office door on the way out
101	101	charles felt sick to the pit of his stomach
102	102	christopher groaned and lay his hands across his stomach
103	103	dave kicked him in the stomach and paul groaned
104	104	dexter opened his letter and found a photograph inside
105	105	duncan took a breath and wanted to be sick
106	106	edward washed his hands and flicked water at bob
107	107	she turned and saw him standing in her path
108	108	they turned round just as frankie walked toward them
109	109	underneath the table her hand was gripping the chair
110	110	whether peter heard him or not gabriel didn't care
111	111	you give me a lead and i'll follow it
112	112	all the bowls from the empty tables are cleared up
113	113	his dark hair was just visible under his white hat
114	114	his men will not follow him and they are few
115	115	i'll break your neck if you don't fix that water
116	116	ian gave geoffrey a hard slap across his right ear
117	117	jake smiled again at his baby daughter she was perfect
118	118	jimmy liked the fact they were calling him jim
119	119	brian sniffed and wiped his grubby hand across his nose
120	120	phil let him go and charlie fell to the ground
121	121	let me through and you'll hear nothing more of it
122	122	men could be paid to do all sorts of things
123	123	gilbert sat as still as he could nursing his lip
124	124	jacques sighed and tried to move out of the way
125	125	jamie took a cigarette and andy gave him a light
126	126	joseph walked into the office and removed his flat cap
127	127	she would soon be found if she tried to hide
128	128	the brothers stood up and came down from the platform
129	129	anthony was approached just as he had predicted in the park
130	130	despite what frank had told her ellen thanked the young soldier
131	131	he called earlier and i already arranged to go swimming tomorrow
132	132	he drove his truck home and walked down to the village
133	133	he held his mother tight and she cried into his chest
134	134	he went to the door and walked out of the room
135	135	his helmet was lost but he could still do some damage
136	136	ken just hoped he wasn't taking his temper out on chris
137	137	lawrence rubbed the back of his neck and hung his head
138	138	lewis sat down and lucy laid her hand on his cheek
139	139	matthew stood against the wall with his hands behind his back
140	140	run along home now and bring us some men to kill
141	141	she just kept telling herself he had to learn a lesson
142	142	she wound up talking to barry about her time in india
143	143	the gate was double one huge mass of wood following another
144	144	the gathered villagers took a step back almost as one man
145	145	we shall arrive properly or you will never live this down
146	146	while they sat drinking their tea mick dug them a trench
147	147	you know better than to talk to your mother like that
148	148	you know that i will do whatever you ask of me
149	149	you shouldn't have been racing my truck in the first place
150	150	a smile came to his lips as he thought of an idea
151	151	all last week there was a white van parked across the street
152	152	finally maria sat down with a cup of tea and a sandwich
153	153	have that carriage sent down and have servants bring wine and water
154	154	he didn't seem to mind that she was screaming in his ear
155	155	he drank too much at times and washed too little at times
156	156	he folded his arms across his chest and put out his lip
157	157	he had another shock when they told him he was moving cells
158	158	he put his hands in his pockets and leaned against the truck
159	159	he was built with muscle and liked to throw his weight around
160	160	i am trying old man but i would rather kill the ship
161	161	i shall have a victory and i want it to be remembered
162	162	in the morning mickey stood straight with his hand behind his back
163	163	in the morning at breakfast mike smiled at the letter he received
164	164	it had been two weeks since philip had been sent to prison
165	165	it is not the most fragrant of places but we make do
166	166	james walked in to wake samuel at four thirty in the morning
167	167	david came running into the waiting room and went straight to stephen
168	168	dennis was standing at the entrance to the workshop smiling at terry
169	169	let us give battle to these foreign snakes once and for all
170	170	tommy came out of the staff room toilet looking a little pale
171	171	adam hoped she was knocked out cold and wouldn't wake till morning
172	172	michael knew they never hit him and that was half the problem
173	173	alan told jason he would just sit outside to have his lunch
174	174	now the man is coming who will give it back to me
175	175	she threatened to leave before and this time she just had enough
176	176	the first knife caught in her skirt and she shook it free
177	177	the last thing alex felt like doing after work was more work
178	178	the truck was an older version of the ones the others drove
179	179	they stared at the black wall and now this offered no comfort
180	180	they were halfway through breakfast when a guard walked up with mail
181	181	we should talk about the things people talk about on first dates
182	182	why don't you tell me what happened on saturday step by step
183	183	emma put her mug of tea down on the table with a bang
184	184	benjamin dashed out of the door and glanced up and down the street
185	185	bruce is looking for someone to take the spare room in his flat
186	186	from the moment we leave this spot be very careful what you say
187	187	he knocked on the door so hard that he almost broke it down
188	188	he let donald go and he fell to the floor with a thud
189	189	he smiled again and felt like a man and not just the kid
190	190	he's got the ability to work but he just gets bored too easy
191	191	her ambition offered no thought to the men standing behind and around her
192	192	i can't see any amount of talk getting you out of this mess
193	193	i flung out my hands and they said i had broken my wrists
194	194	i mostly just pick a dry white and drink it to get drunk
195	195	andy felt good when he got ready to go out on saturday night
196	196	arthur got in his truck and slammed his fist against the steering wheel
197	197	billy knocked on the door and waited till he was told to enter
198	198	bob sat at the entrance to the warehouse and made up a cigarette
199	199	brian sat down at an empty table and began to eat his breakfast
200	200	charlie walked home slowly so that he could smoke one of his cigarettes
201	201	one by one she placed her teeth about their necks and killed them
202	202	the shout caught him off guard and he fell back a little way
203	203	they probably just talked about medieval folk music anyway and it was boring
204	204	within four months they moved in together to the flat on shakespeare road
205	205	after only a night's journey by sea they had travelled into the south proper
206	206	every free man had a right to speak gathered at the calling of council
207	207	he had a headache and every drop sounded like an arrow piercing his skull
208	208	he had money whenever he wanted it and still the best truck in town
209	209	he rose from his seat and stopped mid way when joe glared at him
210	210	he sat his son up on the table and laid his belt beside him
211	211	if i have time at the end i'll fill you in on what happened
212	212	chris carefully carried eddie to his truck and laid him on the back seat
213	213	colin drove into the garage to wash the truck and fill it with petrol
214	214	david finally got to eat his lunch then went back to digging the trench
215	215	dennis noticed someone standing in front of him when he reached for another log
216	216	donald sat down at the kitchen table and fed his little sister her bottle
217	217	frank sighed and walked to the visiting room with his hands in his pockets
218	218	fred walked into the kitchen on saturday morning to find his mother making breakfast
219	219	george was led inside and they made him strip and gave him a uniform
220	220	harry was whistling and singing to himself for the whole of the next day
221	221	henry washed his hands and sat on the seat in front of the stove
222	222	she tried hard to bring him up right and teach him right from wrong
223	223	the bored soldier pressed a button which opened the gate and allowed them in
224	224	the curious thing was on the friday night that the garden gate was shut
225	225	the first thing she noticed when she walked into the house was the silence
226	226	the police officer got out of the van and picked up the two cans
227	227	the speaker turned to her with a smile and a bow of his head
228	228	they say he can breathe fire and kill a man with a single word
229	229	when she had fallen the witnesses to her death would have cut her apart
230	230	he came back to his senses when he heard his dad stand up to him
231	231	he could hear men shouting screaming as though all of hell was at their heels
232	232	he did as he was told and tucked in his shirt and straightened his tie
233	233	he had jobs and lost jobs he never had what you could call a career
234	234	he put his hand on the little boy's shoulder and gave it an encouraging squeeze
235	235	he was already up and dressed and invited us in for a cup of tea
236	236	his smile soon faded to a frown when he heard what keith had to say
237	237	i ask that my people be allowed to stay behind and tend to the wounded
238	238	i haven't lost a single man though they're hardly in a fit state to fight
239	239	i know richard drinks a little too much and has a bit of a temper
240	240	i remember an agent with no arms who could kill a man with his teeth
241	241	if this were a movie instead of a book this would be a good bit
242	242	if you haven't seen it yet all that means is you aren't looking hard enough
243	243	kevin had struck the belt across his legs and hit his fingers in the process
244	244	hugh got up and picked up the bucket and placed it back on the floor
245	245	ian sighed when howard handed him the brush and sent him out to the yard
246	246	james was only in the cell for an hour but it felt like a week
247	247	somehow jason just kept quiet and did as they told him without any smart comments
248	248	that night he had never felt so scared since he had been sent to prison
249	249	to his mum and dad he was just another mouth they couldn't afford to feed
250	250	a smart efficient looking girl in a military uniform sat behind a desk reading heat magazine
251	251	jane had worn a suit in the belief that it might make her look less suspicious
252	252	at ground level by the wall a ditch gathered water and dead rats crowded the ground
253	253	he turned to the crowd who stood quietly waiting to see how the battle would turn
254	254	he walked into the kitchen a while after dinner dressed in his best jeans and shirt
255	255	i would not have you abandon what we have won to chase after that woman's life
256	256	if they don't approach me at any of those places then we'll know they don't care
257	257	just as he was about to give up and go back he heard a second noise
258	258	no one had ever cared about him so much as to threaten his dad like that
259	259	she is wearing a cardigan over a purple blouse and a faded old red cotton skirt
260	260	she was served by an incredibly striking girl with bright blue hair and a polish accent
261	261	the longer you waste time in talk the more certain it is that you will lose
262	262	they followed the stairs down two flights and walked through a door into a reception room
263	263	we don't even need to build the boat the native villagers have plenty that would do
264	264	as soon as they taste cold steel they'll flee back to their mountains as they did before
265	265	don't tell me any more about the crime in fact don't tell me any more full stop
266	266	he sets out to prove them wrong by holding down a job and trying to act responsible
267	267	in a moment before anyone could stop him he had driven his sword into his own stomach
268	268	joe had survived his first week of work and felt good to have money in his pocket
269	269	keith walked into the cell and climbed up on his bed and lay staring at the ceiling
270	270	douglas followed his father to his office and kevin knew from looking in the window they were arguing
271	271	he had lived with his mother till she died after a long and painful fight with lung cancer
272	272	he had to get himself in gear and stop getting into trouble and this time he meant it
273	273	he had walked so far since the battle and every step now seemed to him like a year
274	274	he put his hands to his sword and heard the song rush through his blood louder than ever
275	275	he stared down the narrow pass as though expecting some challenge to issue from the mouth of it
276	276	he walked up to the office and knocked on the door waiting till he was told to enter
277	277	i didn't read the local papers and neither did my parents so i had not heard about it
278	278	luke kicked off his boots and shrugged off his jacket and slammed his cap down on the hook
279	279	malcolm woke lewis at six in the morning and told him to wear his worst jeans and shirt
280	280	mark stopped in his tracks on the way to the table and stood in front of the stove
281	281	martin went to get washed up for lunch then spent the afternoon working on the extension with mark
282	282	the driver slowed down pulled over and got out which was really a terrible mistake on his part
283	283	the people need a champion to follow to open the wall in battle and give them an opening
284	284	whenever she and clark had tried to talk just between the two of them the subject had wandered
285	285	colin and julie walked across a parade ground past a lot of men walking around in uniform carrying guns
286	286	damian is not normally a man of action so now stirred into action he looks like he means business
287	287	derek reached for the statement and placed it in a more prominent position the better to remember it later
288	288	dick sat down at the table and took the cup of tea that karen placed in front of him
289	289	henry came out of his office and found neil standing against the wall with his hands in his pockets
290	290	he could tell by the look of him and his actions that robert had been hitting the drink again
291	291	he owned the garage in town and was trusted to do maintenance on all the cars in the village
292	292	rachel for no reason at all dropped the fish slice on the floor and ran from the room crying
293	293	i am a man of the dead and i have felt the anguish of those passing through my hands
294	294	martin decided to step in when they asked everyone but nigel along for a pint after work on friday
295	295	matt thought the best way to have a talk with patrick would be to take him for a pint
296	296	we could not keep them in the country they had farms to return to services drawing to an end
297	297	as soon as i got off the phone with the pet store man i rang gerry and told him everything
298	298	graham took a long drink from his beer as if to signal that that was an end to the matter
299	299	harvey longed for a son to carry on the family name and talked of little else in his letters home
300	300	he slumped down on the chair by the fire in a heap like his whole body had suddenly got heavy
301	301	he stood up as straight as he could with his hands behind his back and tried not to look scared
302	302	he wrenched one arm from the man's grasp and used it to pull the man's ankles out from beneath him
303	303	his lips were blue and though just conscious he was in no shape to walk talk or even breathe well
304	304	i considered it to be the minimum information i could give out in order to bring the situation under control
305	305	the next night after tea and locked in the cell for the night paul decided to write to his mum
306	306	the water of the river seems to battle against the army dragging at their legs trying to pull them under
307	307	they had been allowing their voices to rise and as the debate continued the rest of the crowd caught on
308	308	they stop in the nearest village to water the horses but the men must do without if they mind sharing
309	309	to one side out of sight of the priests on the steps of their temple was a circle of stones
310	310	we have been given this voice in a language that is not our own with which to tell our story
311	311	he carries an axe as long as your arm and he can split a man from head to toe with it
312	312	he ought to have seen the patrol coming should have spotted their track noticed the way the forest was on edge
313	313	sophie came back in and began to make morgan his breakfast while he sat drinking his coffee and reading the paper
314	314	my nose was and continues to be broken also my ribs and legs were bruised after the collision with the wheelchair
315	315	putting himself between fred and his dad could only do more harm than good at least that's what neil told him
316	316	they have never come this way before and so the hour of their arrival is strange if they wish to trade
317	317	by the time he got home he was feeling a little light headed and felt like he could take on the world
318	318	he made a funny noise and shook his head and raised his hands to indicate that he was useless at describing people
319	319	once he'd chopped just about half he stuck the axe into the chopping block and made his way inside to have breakfast
320	320	unlike the television in the kitchen or the chairs in the lounge or much in the flat the stereo was not dusty
321	321	kate propped herself up on her elbows her wine glass standing in the tall grass besides her and announced that we should talk
322	322	he stood over the small sofa at the other end of his office and watched the small figure curl up under his jacket
323	323	in the distance the walls appeared as the outline of a great dragon curled and sleeping back to the wind and wings folded
324	324	peter went to bed giving himself his word that while hugh wasn't around he'd look out for george as much as he could
325	325	there was a pause then the distant rattle of stone on stone followed closely by its echo from the high mountain walls behind
326	326	ever devoted to his wife he was at her side in the delivery room when she gave birth to a baby girl in 1978
327	327	sue shook her head as she watched nicholas give up on fighting to stay awake and fall asleep on the chair by the fire
328	328	if you had asked him seconds after visiting the bar what colour the girl's hair was he would have probably turned around to look
329	329	phil ran up to the water tank his mum would kill nigel if she knew he'd sent him up the hill without a jacket
330	330	the following day it was made clear to laura if not in so many words that she really needed to be moving out soon
331	331	the very streets seemed to know the gossip it passed from head to head not by mouth but seemingly by sheer power of will
332	332	mary had absolutely no idea what the woman was talking about but there were few things that annoyed her more than adults reading children's books
333	333	sarah is not in a wheelchair she is not big and strong top half or bottom and she does not speak with an american accent
334	334	he could see a paying job just about to slip out of his fingers and he knew he had to act fast to save it
335	335	if he does decide to do anything he'll fill their bones with fire put ashes in their lights and blow them past the last river
336	336	if you were coming from the high street you had to walk past three or four perfectly good pubs to get to the three cups
337	337	just as margaret was setting out tea patrick came in still in his work clothes and washed his hands in the water in the basin
338	338	richard sat down on the chair in front of the stove and tucked into his tea with the warmth of the stove on his back
339	339	there was no television in the lounge there was a small one in the kitchen but in the lounge all seats faced the record player
340	340	there was not an enemy within a hundred miles and they were trading a path their kind had not taken for many many a year
341	341	susan would be a cat person she wanted a pet that could look after itself and if it loved her would love her as an equal
342	342	despite all the publicity he was getting there was still one thing robert knew he had to do before he could clear his conscience for good
343	343	he went to get on his boots and ian stuck out his foot and roger fell over it and landed on the floor with a thud
344	344	jenny went to the sitting room while ross finished off his tea and washed up his dishes then went for a bath and straight to bed
345	345	sam slid down the wall and sat with his knees against his chest and folded his arms across them and put his head down on them
346	346	now that he was master had his own affairs and his own men to command he was less inclined to be ordered about by his wife
347	347	for now we must go on with our lives and act as normal which right now means drinking beer and talking rubbish like we used to do
348	348	from here she could not see the gate but she knew that it would stand wide and gaping welcoming the night in and all that it held
349	349	he still felt a little drunk but not as bad as he was earlier but that didn't stop him falling in the door and waking everyone up
350	350	i can't imagine what else you would have been talking to him about except a certain matter that i believe you said you would not talk about
351	351	she also says to tell you that you will not be able to rely on the land not once you are under the shadow of the walls
352	352	slowly very slowly he placed the tips of his fingers on the ground and felt the power flowing through the earth to the stones touch his ability
353	353	the door was slammed shut behind him and scott slid down the wall right to the floor not even noticing the two other men in the cell
354	354	caroline picked up the empty dishes from the table and piled them on the side of the sink and began to clean up the crumbs on the table
355	355	in the morning it felt good to get up and not have to wait for an inspection or get told when to go to the bathroom or have breakfast
356	356	when she had gone to make a cup of tea she had noticed a small hair stuck to the moist lip of the kettle and without thinking had gone to remove it
357	357	simon lay staring at the ceiling again with his arms behind his head and thinking about his mum he hoped she wasn't worrying too much and hoped they'd get to visit him soon
358	358	paula tried to relax back into the pillow to drift off a little to enjoy listening to the world but the morning was shot it was ruined and there was no getting it back
359	359	he kept his stock books neat and checked them every day and steve knew he urged his son kenneth to be nothing less than respectable and made sure he was polite with their customers
360	360	tom walked into the visiting room glad that his mum was making it back to see him so quickly or at least when they told him he had a visitor he assumed it was his mum
361	361	she seemed to show some interest in tony fixing the truck and asked a lot of questions and even liked it when he let her fix some things and she didn't seem to mind getting covered in oil